snapshot_date,product_id,store_id,stock_quantity,reorder_level,stock_status
2025-08-03,PRD0006,ST004,123,14,In Stock
2025-05-21,PRD0308,ST004,101,28,In Stock
2025-03-15,PRD0119,ST004,156,16,In Stock
2025-09-10,PRD0330,ST001,-10,18,In Stock
2025-06-09,PRD0089,ST002,58,28,In Stock
2025-02-05,PRD0236,ST006,117,47,In Stock
2025-03-19,PRD0041,ST006,26,39,Low Stock
2025-01-31,PRD0019,ST003,41,28,In Stock
2025-06-10,PRD0319,ST004,3,49,Low Stock
2025-01-13,PRD0049,ST002,192,40,In Stock
2025-03-03,PRD0247,ST002,215,12,In Stock
2025-10-16,PRD0276,ST003,232,11,In Stock
2025-03-22,PRD0228,ST001,164,46,In Stock
2025-05-19,PRD0101,ST001,89,20,In Stock
2025-03-01,PRD0048,ST005,208,49,In Stock
2025-09-08,PRD0063,ST004,133,36,In Stock
2025-04-04,PRD0177,ST006,248,35,In Stock
2025-12-22,PRD0047,ST003,104,25,In Stock
2025-08-05,PRD0285,ST005,243,35,In Stock
2025-05-20,PRD0198,ST006,170,31,In Stock
2025-11-28,PRD0010,ST003,194,30,In Stock
2025-07-12,PRD0295,ST004,1,36,Low Stock
2025-03-23,PRD0266,ST003,58,34,In Stock
2025-11-20,PRD0250,ST003,154,20,In Stock
2025-10-14,PRD0323,ST001,135,40,In Stock
2025-02-09,PRD0038,ST006,51,36,In Stock
2025-04-30,PRD0180,ST003,48,17,In Stock
2025-04-30,PRD0125,ST001,23,19,In Stock
2025-12-18,PRD0251,ST006,13,37,Low Stock
2025-05-27,PRD0164,ST003,122,43,In Stock
2025-04-15,PRD0293,ST006,167,46,In Stock
2025-01-11,PRD0143,ST005,121,48,In Stock
2025-02-15,PRD0010,ST002,10,23,Low Stock
2025-04-26,PRD0244,ST005,155,17,In Stock
2025-07-27,PRD0037,ST005,85,10,In Stock
2025-03-24,PRD0316,ST004,102,38,In Stock
2025-01-27,PRD0220,ST003,72,10,In Stock
2025-11-02,PRD0108,ST001,179,30,In Stock
2025-09-04,PRD0226,ST004,215,15,In Stock
2025-05-29,PRD0007,ST004,149,19,In Stock
2025-07-20,PRD0012,ST001,88,28,In Stock
2025-03-21,PRD0286,ST004,55,32,In Stock
2025-09-08,PRD0144,ST001,209,45,In Stock
2025-09-15,PRD0173,ST001,113,29,In Stock
2025-05-16,PRD0153,ST003,246,14,In Stock
2025-05-05,PRD0270,ST005,214,18,In Stock
2025-06-11,PRD0277,ST006,46,25,In Stock
2025-12-05,PRD0180,ST003,37,35,In Stock
2025-04-27,PRD0236,ST002,62,44,In Stock
2025-01-31,PRD0197,ST001,126,40,In Stock
2025-11-13,PRD0308,ST005,144,12,In Stock
2025-05-25,PRD0107,ST005,177,15,In Stock
2025-01-28,PRD0006,ST004,55,16,In Stock
2025-01-02,PRD0162,ST005,161,32,In Stock
2025-01-15,PRD0237,ST004,31,26,In Stock
2025-01-03,PRD0135,ST005,109,42,In Stock
2025-08-28,PRD0058,ST006,111,48,In Stock
2025-01-31,PRD0247,ST002,219,24,In Stock
2025-10-12,PRD0075,ST001,14,48,Low Stock
2025-04-04,PRD0028,ST001,159,16,In Stock
2025-03-01,PRD0143,ST005,184,43,In Stock
2025-11-05,PRD0071,ST001,175,34,In Stock
2025-10-12,PRD0179,ST001,146,42,In Stock
2025-11-05,PRD0144,ST004,159,22,In Stock
2025-11-11,PRD0267,ST006,56,34,In Stock
2025-05-12,PRD0201,ST005,2,50,Low Stock
2025-08-04,PRD0325,ST001,3,49,Low Stock
2025-08-07,PRD0019,ST002,229,24,In Stock
2025-09-24,PRD0080,ST002,174,23,In Stock
2025-10-10,PRD0324,ST006,42,21,In Stock
2025-05-03,PRD0192,ST002,117,30,In Stock
2025-06-16,PRD0255,ST002,119,12,In Stock
2025-06-20,PRD0314,ST002,193,50,In Stock
2025-06-12,PRD0015,ST006,16,44,Low Stock
2025-11-19,PRD0275,ST004,38,12,In Stock
2025-07-29,PRD0316,ST004,92,38,In Stock
2025-09-12,PRD0208,ST004,241,39,In Stock
2025-10-07,PRD0259,ST004,31,22,In Stock
2025-01-06,PRD0263,ST006,65,42,In Stock
2025-04-18,PRD0309,ST004,33,10,In Stock
2025-01-21,PRD0201,ST006,108,23,In Stock
2025-03-08,PRD0317,ST003,109,42,In Stock
2025-10-16,PRD0277,ST004,90,38,In Stock
2025-06-08,PRD0257,ST005,194,25,In Stock
2025-07-25,PRD0239,ST006,4,37,Low Stock
2025-02-03,PRD0291,ST006,217,41,In Stock
2025-07-03,PRD0005,ST001,55,43,In Stock
2025-02-09,PRD0153,ST006,14,26,Low Stock
2025-04-15,PRD0286,ST005,0,15,Out of Stock
2025-07-01,PRD0105,ST001,90,10,In Stock
2025-01-06,PRD0185,ST006,136,23,In Stock
2025-07-09,PRD0098,ST003,176,44,In Stock
2025-06-14,PRD0335,ST005,75,21,In Stock
2025-06-19,PRD0169,ST004,17,27,Low Stock
2025-02-02,PRD0227,ST005,77,23,In Stock
2025-08-20,PRD0200,ST001,25,43,Low Stock
2025-04-12,PRD0096,ST003,122,46,In Stock
2025-09-19,PRD0061,ST006,98,48,In Stock
2025-07-01,PRD0119,ST006,208,33,In Stock
2025-03-18,PRD0134,ST006,185,36,In Stock
2025-10-31,PRD0098,ST006,109,13,In Stock
2025-05-14,PRD0095,ST003,146,47,In Stock
2025-01-11,PRD0133,ST006,205,10,In Stock
2025-02-05,PRD7777,ST002,235,46,In Stock
2025-06-10,PRD0287,ST005,130,15,In Stock
2025-12-28,PRD0261,ST006,74,25,In Stock
2025-04-06,PRD0144,ST003,227,33,In Stock
2025-09-12,PRD0160,ST002,79,21,In Stock
2025-06-11,PRD0303,ST003,161,14,In Stock
2025-03-22,PRD0080,ST005,103,47,In Stock
2025-06-20,PRD0073,ST005,195,24,In Stock
2025-11-19,PRD0257,ST002,26,13,In Stock
2025-08-11,PRD0079,ST005,97,45,In Stock
2025-06-27,PRD0070,ST001,174,12,In Stock
2025-01-21,PRD0235,ST002,86,48,In Stock
2025-01-17,PRD0040,ST002,46,50,Low Stock
2025-06-30,PRD0237,ST001,165,29,In Stock
2025-05-27,PRD0044,ST003,130,19,In Stock
2025-03-18,PRD0143,ST002,203,11,In Stock
2025-04-04,PRD0174,ST005,83,42,In Stock
2025-09-25,PRD0286,ST003,225,30,In Stock
2025-08-16,PRD0107,ST005,216,24,In Stock
2025-11-07,PRD0251,ST003,43,50,Low Stock
2025-07-24,PRD0004,ST005,91,32,In Stock
2025-01-23,PRD0070,ST006,100,20,In Stock
2025-07-11,PRD0301,ST005,28,27,In Stock
2025-12-13,PRD0122,ST003,55,46,In Stock
2025-07-04,PRD0305,ST003,104,48,In Stock
2025-03-04,PRD0239,ST002,242,10,In Stock
2025-08-30,PRD0032,ST002,111,41,In Stock
2025-11-13,PRD0286,ST005,153,23,In Stock
2025-08-31,PRD0100,ST004,56,13,In Stock
2025-02-19,PRD0177,ST006,46,40,In Stock
2025-09-05,PRD0103,ST004,72,44,In Stock
2025-02-17,PRD0063,ST005,77,27,In Stock
2025-10-07,PRD0254,ST005,148,11,In Stock
2025-07-02,PRD0077,ST005,25,44,Low Stock
2025-05-26,PRD0149,ST001,145,11,In Stock
2025-02-01,PRD0086,ST003,206,30,In Stock
2025-09-22,PRD0234,ST005,39,30,In Stock
2025-08-26,PRD0102,ST001,54,11,In Stock
2025-04-02,PRD0081,ST001,244,24,In Stock
2025-08-20,PRD0126,ST006,88,29,In Stock
2025-01-22,PRD0188,ST006,59,22,In Stock
2025-12-18,PRD0130,ST001,205,16,In Stock
2025-08-02,PRD0143,ST006,117,44,In Stock
2025-07-04,PRD0032,ST006,106,12,In Stock
2025-11-16,PRD0118,ST002,127,14,In Stock
2025-11-14,PRD0275,ST004,90,42,In Stock
2025-06-13,PRD0037,ST001,33,14,In Stock
2025-05-28,PRD0206,ST003,66,44,In Stock
2025-02-23,PRD0289,ST006,52,21,In Stock
2025-03-27,PRD0012,ST004,239,14,In Stock
2025-06-30,PRD0088,ST006,81,11,In Stock
2025-02-10,PRD0308,ST001,112,40,In Stock
2025-11-05,PRD0262,ST006,113,46,In Stock
2025-06-10,PRD0011,ST003,119,50,In Stock
2025-12-25,PRD0017,ST001,220,35,In Stock
2025-04-04,PRD0072,ST003,208,12,In Stock
2025-02-08,PRD0232,ST004,85,49,In Stock
2025-02-09,PRD0239,ST006,72,44,In Stock
2025-11-27,PRD0304,ST001,250,48,In Stock
2025-04-02,PRD0102,ST005,201,24,In Stock
2025-07-29,PRD0009,ST006,78,27,In Stock
2025-09-06,PRD0010,ST004,248,50,In Stock
2025-01-10,PRD0215,ST004,13,32,Low Stock
2025-09-10,PRD0316,ST004,229,30,In Stock
2025-03-07,PRD0242,ST002,147,45,In Stock
2025-05-07,PRD0037,ST006,24,20,In Stock
2025-06-16,PRD0304,ST005,220,20,In Stock
2025-03-13,PRD0044,ST005,180,48,In Stock
2025-10-02,PRD0230,ST001,28,37,Low Stock
2025-03-21,PRD0150,ST006,65,27,In Stock
2025-06-26,PRD0037,ST004,155,36,In Stock
2025-02-12,PRD0111,ST004,3,25,Low Stock
2025-05-14,PRD0016,ST005,171,28,In Stock
2025-11-07,PRD0244,ST005,82,24,In Stock
2025-03-04,PRD0163,ST006,11,18,Low Stock
2025-11-17,PRD0234,ST006,74,25,In Stock
2025-10-16,PRD0125,ST005,182,17,In Stock
2025-10-16,PRD0052,ST006,189,34,In Stock
2025-06-30,PRD0143,ST003,151,27,In Stock
2025-10-04,PRD0013,ST004,34,13,In Stock
2025-10-23,PRD0162,ST002,188,41,In Stock
2025-11-11,PRD0172,ST005,240,50,In Stock
2025-07-22,PRD0031,ST004,40,32,In Stock
2025-02-01,PRD0305,ST002,48,50,Low Stock
2025-12-07,PRD0113,ST001,37,13,In Stock
2025-08-02,PRD0281,ST002,204,19,In Stock
2025-01-07,PRD0165,ST002,201,42,In Stock
2025-05-25,PRD0173,ST002,142,17,In Stock
2025-04-16,PRD0129,ST005,119,42,In Stock
2025-06-12,PRD0229,ST003,221,19,In Stock
2025-04-25,PRD0075,ST004,96,15,In Stock
2025-01-17,PRD0108,ST005,39,17,In Stock
2025-03-02,PRD0269,ST004,44,10,In Stock
2025-06-13,PRD0023,ST006,32,33,Low Stock
2025-06-13,PRD0034,ST002,12,46,Low Stock
2025-11-19,PRD0301,ST005,100,21,In Stock
2025-11-08,PRD0153,ST002,200,36,In Stock
2025-05-29,PRD0330,ST005,127,41,In Stock
2025-01-09,PRD0244,ST001,55,28,In Stock
2025-06-22,PRD0194,ST002,18,32,Low Stock
2025-07-03,PRD0170,ST999,124,26,In Stock
2025-03-20,PRD0057,ST004,145,16,In Stock
2025-10-27,PRD0183,ST004,90,46,In Stock
2025-06-05,PRD0059,ST006,145,10,In Stock
2025-05-09,PRD0166,ST003,216,46,In Stock
2025-01-26,PRD0223,ST003,77,41,In Stock
2025-09-27,PRD0076,ST005,37,29,In Stock
2025-01-29,PRD0336,ST005,128,43,In Stock
2025-07-18,PRD0219,ST004,18,16,In Stock
2025-09-28,PRD0228,ST001,216,10,In Stock
2025-08-13,PRD0138,ST005,197,45,In Stock
2025-11-07,PRD0007,ST001,106,15,In Stock
2025-10-09,PRD0021,ST002,223,12,In Stock
2025-04-08,PRD0059,ST003,94,37,In Stock
2025-08-26,PRD0237,ST003,47,17,In Stock
2025-07-30,PRD0101,ST003,158,20,In Stock
2025-11-17,PRD0132,ST006,71,29,In Stock
2025-07-01,PRD0015,ST004,111,30,In Stock
2025-06-06,PRD0234,ST005,229,42,In Stock
2025-10-23,PRD0050,ST003,203,33,In Stock
2025-11-16,PRD0124,ST005,137,47,In Stock
2025-08-27,PRD0252,ST003,241,17,In Stock
2025-06-07,PRD0069,ST003,237,42,In Stock
2025-01-11,PRD0255,ST006,75,19,In Stock
2025-03-23,PRD0059,ST002,0,22,Out of Stock
2025-08-29,PRD0110,ST004,3,10,Low Stock
2025-02-24,PRD0155,ST003,47,25,In Stock
2025-04-01,PRD0126,ST002,194,49,In Stock
2025-02-25,PRD0148,ST002,163,12,In Stock
2025-05-16,PRD0052,ST004,150,23,In Stock
2025-10-21,PRD0168,ST002,130,28,In Stock
2025-04-09,PRD0008,ST004,18,42,Low Stock
2025-06-05,PRD0211,ST004,2,48,Low Stock
2025-01-14,PRD0125,ST006,84,17,In Stock
2025-11-29,PRD0138,ST005,13,23,Low Stock
2025-04-22,PRD0120,ST001,63,46,In Stock
2025-04-10,PRD0196,ST006,9,32,Low Stock
2025-12-24,PRD0243,ST002,187,13,In Stock
2025-12-14,PRD0231,ST002,22,14,In Stock
2025-07-04,PRD0212,ST004,220,36,In Stock
2025-12-17,PRD0090,ST002,128,37,In Stock
2025-07-03,PRD0273,ST002,103,24,In Stock
2025-01-14,PRD0050,ST006,96,14,In Stock
2025-09-15,PRD0029,ST002,8,23,Low Stock
2025-09-26,PRD0225,ST005,194,27,In Stock
2025-03-22,PRD0204,ST002,172,28,In Stock
2025-01-04,PRD0182,ST003,193,41,In Stock
2025-07-03,PRD0191,ST001,85,35,In Stock
2025-11-15,PRD0267,ST002,239,20,In Stock
2025-04-06,PRD0312,ST005,18,45,Low Stock
2025-02-04,PRD0084,ST005,224,50,In Stock
2025-01-04,PRD0312,ST001,207,46,In Stock
2025-02-13,PRD0240,ST004,178,11,In Stock
2025-02-11,PRD0295,ST006,134,21,In Stock
2025-09-07,PRD0238,ST006,246,17,In Stock
2025-08-22,PRD0303,ST003,103,41,In Stock
2025-09-23,PRD0169,ST006,143,38,In Stock
2025-07-23,PRD0224,ST001,39,15,In Stock
2025-12-31,PRD0231,ST004,182,28,In Stock
2025-05-13,PRD0160,ST001,88,34,In Stock
2025-07-04,PRD0231,ST003,54,40,In Stock
2025-06-21,PRD0308,ST005,47,28,In Stock
2025-09-30,PRD0039,ST002,37,44,Low Stock
2025-03-01,PRD0259,ST001,200,16,In Stock
2025-04-03,PRD0316,ST006,93,32,In Stock
2025-09-15,PRD0140,ST006,70,30,In Stock
2025-08-18,PRD0097,ST003,42,34,In Stock
2025-05-15,PRD0018,ST004,27,29,Low Stock
2025-11-18,PRD0293,ST001,50,16,In Stock
2025-01-22,PRD0136,ST004,236,33,In Stock
2025-03-15,PRD0256,ST003,14,26,Low Stock
2025-07-02,PRD0222,ST003,82,27,In Stock
2025-04-19,PRD0035,ST006,45,46,Low Stock
2025-01-29,PRD0122,ST005,208,21,In Stock
2025-08-05,PRD0164,ST001,39,47,Low Stock
2025-05-11,PRD0231,ST002,146,47,In Stock
2025-03-09,PRD0208,ST002,49,38,In Stock
2025-01-17,PRD0336,ST001,153,32,In Stock
2025-03-04,PRD0036,ST002,211,48,In Stock
2025-02-12,PRD0095,ST002,39,38,In Stock
2025-08-10,PRD0051,ST003,141,26,In Stock
2025-03-19,PRD0178,ST006,21,15,In Stock
2025-10-05,PRD0243,ST006,75,21,In Stock
2025-03-22,PRD0123,ST001,143,31,In Stock
2025-09-17,PRD0111,ST001,242,23,In Stock
2025-03-29,PRD0320,ST004,89,41,In Stock
2025-01-14,PRD0103,ST003,235,11,In Stock
2025-11-15,PRD0227,ST001,186,44,In Stock
2025-02-17,PRD0138,ST005,94,29,In Stock
2025-04-28,PRD0206,ST002,163,38,In Stock
2025-12-01,PRD0137,ST005,216,16,In Stock
2025-10-15,PRD0238,ST002,29,40,Low Stock
2025-10-11,PRD0161,ST002,151,40,In Stock
2025-08-10,PRD0149,ST002,208,42,In Stock
2025-05-10,PRD0336,ST004,140,30,In Stock
2025-03-05,PRD0303,ST002,103,14,In Stock
2025-09-07,PRD0181,ST006,138,35,In Stock
2025-11-04,PRD0077,ST004,179,28,In Stock
2025-03-24,PRD0314,ST001,212,13,In Stock
2025-04-25,PRD0318,ST001,100,17,In Stock
2030-12-01,PRD0071,ST005,20,16,In Stock
2025-02-24,PRD0052,ST004,8,29,Low Stock
2025-01-11,PRD0149,ST006,229,41,In Stock
2025-10-06,PRD0336,ST006,205,40,In Stock
2025-04-28,PRD0244,ST003,130,13,In Stock
2025-07-11,PRD0070,ST001,185,39,In Stock
2025-01-02,PRD0066,ST001,127,25,In Stock
2025-10-17,PRD0248,ST001,160,15,In Stock
2025-08-02,PRD0117,ST001,108,18,In Stock
2025-10-24,PRD0162,ST005,241,14,In Stock
2025-01-27,PRD0232,ST004,28,47,Low Stock
2025-07-22,PRD0254,ST004,125,26,In Stock
2025-02-03,PRD0207,ST004,212,13,In Stock
2025-07-27,PRD0137,ST005,86,45,In Stock
2025-12-15,PRD0269,ST005,167,28,In Stock
2025-11-20,PRD0160,ST003,170,18,In Stock
2025-05-27,PRD0175,ST001,230,27,In Stock
2025-11-12,PRD0260,ST005,103,28,In Stock
2025-07-01,PRD0114,ST005,108,45,In Stock
2025-05-30,PRD0162,ST001,44,36,In Stock
2025-06-18,PRD0091,ST004,228,36,In Stock
2025-08-04,PRD0228,ST002,242,16,In Stock
2025-06-25,PRD0189,ST002,80,27,In Stock
2025-02-17,PRD0239,ST005,54,21,In Stock
2025-02-15,PRD0041,ST002,97,44,In Stock
2025-02-25,PRD0284,ST004,132,33,In Stock
2025-01-13,PRD0201,ST002,76,30,In Stock
2025-09-27,PRD0175,ST004,191,47,In Stock
2025-09-09,PRD0249,ST001,0,28,Out of Stock
2025-07-08,PRD0335,ST004,129,45,In Stock
2025-04-04,PRD0223,ST006,60,29,In Stock
2025-04-01,PRD0156,ST002,52,33,In Stock
2025-11-12,PRD0095,ST005,223,43,In Stock
2025-11-23,PRD0243,ST001,233,11,In Stock
2025-06-19,PRD0070,ST003,21,23,Low Stock
2025-07-21,PRD0094,ST004,235,21,In Stock
2025-06-17,PRD0274,ST004,30,42,Low Stock
2025-04-05,PRD0051,ST001,160,26,In Stock
2025-01-06,PRD0281,ST003,247,42,In Stock
2025-08-28,PRD0133,ST002,105,17,In Stock
2025-06-27,PRD0324,ST003,119,17,In Stock
2025-03-29,PRD0036,ST006,96,18,In Stock
2025-08-30,PRD0192,ST004,161,22,In Stock
2025-05-04,PRD0095,ST001,6,36,Low Stock
2025-02-18,PRD0058,ST006,173,49,In Stock
2025-04-25,PRD0223,ST005,156,32,In Stock
2025-03-21,PRD0315,ST006,170,40,In Stock
2025-05-26,PRD0277,ST001,43,22,In Stock
2025-04-29,PRD0326,ST003,40,25,In Stock
2025-06-13,PRD0265,ST006,64,33,In Stock
2025-11-02,PRD0222,ST002,205,45,In Stock
2025-04-20,PRD0336,ST005,78,35,In Stock
2025-02-01,PRD0231,ST003,149,14,In Stock
2025-07-21,PRD0313,ST005,217,17,In Stock
2025-06-12,PRD0168,ST003,111,16,In Stock
2025-04-10,PRD0312,ST004,192,13,In Stock
2025-12-10,PRD0160,ST004,165,30,In Stock
2025-03-01,PRD0325,ST001,74,21,In Stock
2025-05-18,PRD0071,ST003,246,45,In Stock
2025-05-14,PRD0202,ST003,132,47,In Stock
2025-10-25,PRD0108,ST002,62,31,In Stock
2025-09-02,PRD0048,ST004,236,37,In Stock
2025-10-08,PRD0185,ST002,129,27,In Stock
2025-10-30,PRD0316,ST003,5,43,Low Stock
2025-05-19,PRD0232,ST004,248,19,In Stock
2025-08-29,PRD0315,ST004,39,42,Low Stock
2025-01-13,PRD0318,ST002,127,39,In Stock
2025-02-07,PRD0153,ST001,6,28,Low Stock
2025-07-12,PRD0132,ST001,135,41,In Stock
2025-11-04,PRD0278,ST001,244,40,In Stock
2025-05-01,PRD0222,ST001,130,43,In Stock
2025-06-22,PRD0231,ST006,87,19,In Stock
2025-05-19,PRD0187,ST002,233,17,In Stock
2025-07-19,PRD0150,ST002,166,12,In Stock
2025-12-21,PRD0048,ST001,188,43,In Stock
2025-01-26,PRD0269,ST002,198,48,In Stock
2025-06-16,PRD0130,ST006,143,30,In Stock
2025-03-10,PRD0043,ST006,241,15,In Stock
2025-11-30,PRD0071,ST001,246,33,In Stock
2025-10-23,PRD0160,ST004,62,22,In Stock
2025-05-07,PRD0288,ST001,192,40,In Stock
2025-10-19,PRD0275,ST003,37,38,Low Stock
2025-08-04,PRD0304,ST001,25,39,Low Stock
2025-08-28,PRD0014,ST004,159,13,In Stock
2025-12-20,PRD0169,ST002,232,22,In Stock
2025-08-28,PRD0032,ST006,31,48,Low Stock
2025-11-21,PRD0121,ST004,58,48,In Stock
2025-11-09,PRD0268,ST006,104,31,In Stock
2025-02-02,PRD0133,ST006,230,23,In Stock
2025-07-28,PRD0129,ST004,47,46,In Stock
2025-07-15,PRD0293,ST001,88,29,In Stock
2025-06-24,PRD0093,ST001,150,12,In Stock
2025-10-26,PRD0086,ST004,121,17,In Stock
2025-04-06,PRD0164,ST005,200,27,In Stock
2025-01-06,PRD0152,ST004,106,13,In Stock
2025-09-17,PRD0127,ST006,6,38,Low Stock
2025-05-07,PRD0169,ST003,107,13,In Stock
2025-01-08,PRD0250,ST005,117,26,In Stock
2025-01-31,PRD0325,ST004,201,37,In Stock
2025-09-22,PRD0180,ST004,69,26,In Stock
2025-11-01,PRD0078,ST003,203,31,In Stock
2025-10-23,PRD0119,ST002,64,44,In Stock
2025-09-15,PRD0196,ST005,81,29,In Stock
2025-07-28,PRD0280,ST001,1,18,Low Stock
2025-04-01,PRD0008,ST006,156,38,In Stock
2025-08-05,PRD0141,ST004,92,22,In Stock
2025-02-05,PRD0255,ST006,95,49,In Stock
2025-06-23,PRD0290,ST004,34,50,Low Stock
2025-08-31,PRD0136,ST002,211,23,In Stock
2025-04-29,PRD0154,ST006,31,19,In Stock
2025-10-07,PRD0124,ST003,210,25,In Stock
2025-11-23,PRD0241,ST001,61,39,In Stock
2025-06-24,PRD0096,ST004,222,49,In Stock
2025-08-02,PRD0263,ST003,122,32,In Stock
2025-04-27,PRD0306,ST001,97,48,In Stock
2025-02-23,PRD0097,ST005,67,34,In Stock
2025-10-10,PRD0312,ST002,60,18,In Stock
2025-09-05,PRD0201,ST004,239,15,In Stock
2025-07-12,PRD0112,ST005,128,27,In Stock
2025-09-26,PRD0054,ST001,117,19,In Stock
2025-03-18,PRD0174,ST001,44,30,In Stock
2025-09-04,PRD0157,ST005,30,32,Low Stock
2025-04-17,PRD0092,ST003,110,50,In Stock
2025-01-27,PRD0327,ST004,219,24,In Stock
2025-11-06,PRD0264,ST001,160,43,In Stock
2025-01-03,PRD0270,ST003,89,27,In Stock
2025-03-30,PRD0018,ST004,0,49,Out of Stock
2025-11-18,PRD0311,ST006,63,49,In Stock
2025-11-17,PRD0203,ST001,14,41,Low Stock
2025-10-08,PRD0294,ST006,66,46,In Stock
2025-04-20,PRD0174,ST001,102,16,In Stock
2025-09-07,PRD0233,ST002,240,23,In Stock
2025-09-19,PRD0069,ST001,116,32,In Stock
